CLT_stdUniform,CLT_stdGaussian,CLT_Rep_lattice,CLT_Rep_Sobol
,,28.662688493728638,
,,12.767829179763794,
,140.17444610595703,3.900739908218384,
81.96482992172241,28.342317581176758,2.3886501789093018,
36.34577441215515,15.232253074645996,1.2626054286956787,
20.690651416778564,10.088013887405396,0.7071170806884766,
17.830298900604248,6.854663372039795,0.8068966865539551,
13.203678607940674,6.377938508987427,0.6861898899078369,
10.693320512771606,4.776223659515381,0.6851871013641357,
8.394532203674316,3.4966464042663574,0.569476842880249,
7.303462982177734,2.7227163314819336,0.3401165008544922,
5.7396440505981445,2.3517065048217773,0.5525574684143066,
4.772229194641113,2.1342906951904297,0.4228692054748535,
3.8078136444091797,1.6595606803894043,0.4328420162200928,
3.707094192504883,1.676511526107788,0.4109318256378174,
3.000998020172119,1.4411699771881104,0.41289734840393066,
3.314126968383789,1.1399517059326172,0.36901187896728516,
2.903233766555786,1.0970923900604248,0.41988182067871094,
2.6409525871276855,0.9584085941314697,0.34909772872924805,
2.14628529548645,0.9375181198120117,0.34308934211730957,